Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Starlink V1 L5;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | Cosmos 2545;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-201, Wenchang Satellite Launch Center, China;Long March 7A | XJY-6;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 G2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | CRS-20;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz 2.1a/Fregat-M | Meridian-M nâ Â­19L;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2D | XJS-C to F;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L4;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 411 | Solar Orbiter;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1b/Fregat | OneWeb #2;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L3;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Crew Dragon Inflight Abort Test;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | TJSW-5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L2;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-101, Wenchang Satellite Launch Center, China;Long March 5 | Shijian-20;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V N22 | Starliner OFT;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | CBERS-4A, ETRSS-1 & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | JCSAT-18 / Kacific-1;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M19 & M20;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat | Cosmos 2544;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-13 (74P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | CRS-19;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen-12;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v/Volga | Cosmos 2542 & 2543;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M21 & M22;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-16, Taiyuan Satellite Launch Center, China;Long March 6 | Ningxia-1 (x5);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L1;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 IGSO-3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Gaofen-7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | TJSW-4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen 10 (Replacement);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat | Cosmos 2541;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-15 (61S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Yunhai-1-02;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M23 & M24;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Zhuhai-1 Group 03;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Soyuz MS-14 (60S);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | ChinaSat 18;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | AEHF 5;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | AMOS-17;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-12;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1a/Fregat-M | Meridian-M nâ Â­18L;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan-30-05;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | CRS-18;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-13 (59S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v/Volga | Cosmos 2535 to 2538;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon Heavy | STP-2;StatusActive;Success;RP-1/LOX;22,819 kN;63,800 kg;1,420,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 IGSO-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat 7C &  AT&T T-16;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 5 | RADARSAT Constellation;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Tai Rui Barge, Yellow Sea;Long March 11H | Jilin-1 & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | Cosmos 2534;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V0.9;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Yaogan Weixing-33;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3C/E | Beidou-2 G8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | CRS-17;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Taiyuan Satellite Launch Center, China;Long March 4B | Tianhui-2 Group 01;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 IGSO-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon Heavy | ArabSat 6A;StatusActive;Success;RP-1/LOX;22,819 kN;63,800 kg;1,420,000 kg;2
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | O3b FM17-FM20;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-11 (72P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Tianlian-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-12 (58S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Zhongxing-6C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | SpaceX Demo-1;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-M | OneWeb #1;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Nusantara Satu & Beresheet;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1b/Fregat-M | EgyptSat-A;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | GSAT-31 & Hellas-Sat-4;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Jilin-1 Hyperspectral & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 5 | Iridium-8;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Zhongxing-2D (Chinasat-2D);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D/YZ-3 | Hongyan-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Soyuz 2.1a/Fregat | Kanopus-V No. 5-6 & Rideshares;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3C/E | TJS-3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | GPS III SV01;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Hongyun-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat-M | CSO 1;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Chang'e-4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | SaudiSAT 5A, & 5B and Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | CRS-16;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | GSAT-11 & GEO-KOMPSAT 2A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 5 | Spaceflight SSO-A;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-11 (57S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shiyan-6, Jiading-1 (OKW-01), & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M17 & M18;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Progress MS-10 (71P);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Es'hail 2;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-M | MetOp C;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat | GLONASS-M No.54S;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 G1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | CFOSAT, Zhaojin-1, Hongyan-1, & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b | Lotus-S No.4;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Haiyang-2B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | BepiColombo;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | AEHF-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M15 & M16;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-10 (56S);StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | Yaogan-32 Group 01;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 5 | SAOCOM 1A;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Horizons-3e & Azerspace 2/Intelsat 38;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M13 & M14;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Telstar 18V / APStar 5C;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Taiyuan Satellite Launch Center, China;Long March 2C | Haiyang 1C (HY-1C);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
